13-53,17-82
38-54,11-53
45-59,59-87
55-78,54-54
42-66,42-66
19-91,22-92
39-46,38-91
42-89,41-41
33-66,34-65
7-71,6-70
7-80,30-61
58-91,57-90
30-95,88-95
4-97,96-99
12-99,12-95
39-41,40-50
34-87,35-87
14-86,2-12
14-87,15-86
7-97,96-96
7-36,31-46
6-75,7-49
29-29,28-81
58-67,68-68
18-97,18-91
17-31,27-30
39-46,51-96
68-89,69-69
15-57,15-57
24-24,16-77
40-92,91-93
43-61,41-76
49-49,42-48
34-76,15-75
2-73,74-74
16-98,16-97
7-80,6-80
23-66,24-65
39-81,40-82
74-99,33-37
81-93,64-93
19-86,86-95
97-97,9-98
45-70,62-71
54-67,20-53
85-85,18-85
11-79,28-76
40-96,12-40
19-79,35-80
3-91,1-92
5-90,5-89
42-93,43-92
40-70,34-38
12-43,11-12
22-22,3-21
53-90,7-65
22-90,11-15
24-24,24-36
3-3,5-55
53-54,53-53
53-53,26-54
3-9,9-97
43-58,58-59
31-64,17-64
34-36,35-35
4-11,10-48
12-39,15-40
44-44,43-92
9-68,68-68
20-95,20-81
6-27,45-62
7-91,7-91
2-3,5-88
11-77,22-61
8-95,30-77
85-97,86-97
3-60,8-18
14-70,13-69
34-81,61-82
42-82,43-82
9-99,10-10
2-75,19-53
26-77,69-86
82-97,27-81
17-92,9-93
5-6,5-5
46-46,45-47
21-67,21-68
36-95,17-36
41-88,41-89
6-81,11-80
26-45,45-46
4-75,2-4
27-36,24-35
49-64,50-97
86-86,40-85
5-5,5-92
81-82,6-82
14-92,93-93
28-36,35-65
12-17,18-27
28-68,6-68
47-93,48-48
20-99,11-97
32-75,9-18
53-96,96-96
33-64,32-63
79-83,3-78
38-46,47-79
3-88,4-98
6-97,96-96
68-68,42-69
24-99,23-23
27-98,65-99
9-94,5-5
22-30,23-23
71-72,23-71
2-97,2-96
6-58,7-57
44-88,45-74
2-97,98-99
27-30,9-27
10-89,48-89
19-99,18-88
95-95,15-78
10-30,10-31
10-97,11-79
5-97,1-98
17-99,1-99
27-29,28-95
90-90,33-90
64-65,3-64
34-98,35-97
23-62,22-63
76-85,85-85
56-97,57-98
43-43,43-43
17-83,16-18
4-15,6-15
18-70,66-70
62-63,9-62
81-85,32-80
35-95,24-90
6-62,7-62
17-19,18-29
24-38,37-37
2-42,2-43
11-50,10-12
20-50,19-51
22-22,2-22
54-54,8-53
27-47,46-46
11-97,5-6
47-99,1-99
31-46,32-45
8-56,2-39
57-95,10-96
17-17,25-75
44-46,10-45
30-33,29-32
1-94,24-95
31-32,8-32
19-21,20-49
34-34,19-35
33-79,86-96
12-98,12-97
27-35,26-36
37-89,90-90
2-5,4-81
29-38,38-39
3-88,58-82
5-8,7-65
6-14,13-73
57-98,90-99
29-53,30-54
1-78,59-60
34-34,24-35
4-12,11-11
41-84,9-83
5-88,6-6
1-78,8-75
80-80,19-81
95-97,72-96
13-85,84-84
31-81,28-32
53-58,37-45
13-69,62-82
11-69,10-69
46-46,45-74
60-93,77-98
14-58,14-59
73-73,11-72
3-91,32-91
4-6,5-87
11-85,16-78
2-99,89-97
21-88,20-87
4-52,51-51
22-22,1-21
21-76,8-94
4-6,5-40
97-97,5-93
22-85,11-23
6-74,5-5
67-91,66-92
24-99,16-98
2-58,1-1
21-52,20-52
71-82,76-96
5-65,5-64
4-6,9-70
73-75,68-88
39-52,38-40
29-32,29-31
65-65,37-66
3-69,2-68
36-97,36-85
52-68,15-69
3-42,42-43
19-25,25-58
9-28,8-27
23-99,24-99
21-98,22-95
6-12,12-13
42-93,41-99
57-83,58-84
91-91,90-94
71-72,71-88
2-97,1-3
9-12,11-49
75-81,38-82
38-75,16-52
16-18,17-91
29-72,30-71
83-83,45-82
17-56,19-57
50-52,51-78
17-67,66-66
3-81,3-80
20-48,49-65
17-51,10-18
1-9,2-10
49-49,46-48
95-96,55-96
27-89,28-74
47-76,28-82
9-95,10-96
87-88,5-88
27-74,28-47
74-93,46-92
3-95,98-98
49-50,26-50
28-79,27-79
15-53,14-93
17-36,17-18
7-72,64-75
7-96,32-99
87-99,21-77
12-98,13-97
14-79,2-79
2-2,2-3
38-73,73-74
11-82,4-7
67-67,68-71
86-87,13-84
52-80,51-52
71-97,71-96
4-5,5-87
14-31,31-73
28-28,27-55
3-3,2-28
37-67,65-73
79-80,73-79
16-95,17-94
7-77,8-76
16-82,18-82
34-34,33-93
13-84,88-88
37-98,9-97
16-40,7-59
3-96,1-3
3-95,30-99
1-84,2-85
2-3,4-56
5-54,6-55
69-93,36-93
31-89,44-88
5-88,23-87
5-87,4-88
85-90,42-84
44-72,33-37
7-11,21-99
32-91,31-91
99-99,61-99
5-79,10-44
59-94,58-84
4-6,5-99
24-29,28-82
23-41,23-40
6-95,95-96
18-99,17-53
87-95,32-85
28-66,28-67
4-94,99-99
22-97,22-98
30-96,14-31
30-70,31-69
56-74,3-89
4-85,86-86
57-97,58-97
41-95,41-96
78-79,37-78
25-70,70-75
92-92,4-93
46-65,66-73
18-20,19-23
32-90,32-89
38-73,38-95
30-69,31-68
49-68,1-78
18-98,10-97
25-65,14-22
14-46,12-45
19-48,20-32
52-83,29-52
57-95,57-94
4-97,4-96
35-91,90-92
5-99,4-99
4-26,4-27
54-73,6-54
6-98,7-99
63-81,7-80
58-85,59-59
1-2,1-88
71-85,51-93
5-65,6-6
3-49,33-93
44-84,5-84
49-62,48-61
35-98,36-99
2-3,10-64
95-95,43-95
2-55,3-56
20-53,20-52
15-97,11-13
81-81,3-81
40-45,1-44
1-3,5-73
4-97,97-98
91-92,12-91
31-64,30-63
18-55,17-54
35-40,34-35
3-6,5-95
26-70,79-94
4-97,8-97
6-63,28-63
28-95,11-21
5-81,1-6
38-41,39-40
49-96,48-88
59-77,58-77
29-40,28-40
45-75,46-46
3-87,4-67
58-99,4-92
47-57,46-47
24-84,15-80
85-92,38-85
55-89,88-90
32-68,67-67
7-89,8-89
14-92,13-92
29-41,30-41
5-92,4-92
9-29,19-41
65-89,90-99
91-91,60-91
5-70,21-68
11-95,35-92
25-65,14-26
52-93,88-94
52-89,51-90
74-87,86-86
32-96,99-99
5-97,4-6
19-91,20-91
65-76,64-77
36-90,37-90
37-82,25-92
76-78,77-84
5-66,5-66
4-9,12-50
2-52,10-52
15-99,14-98
18-96,6-18
3-81,4-33
21-66,15-71
49-49,27-67
4-4,5-94
50-50,9-51
31-95,30-94
82-91,87-93
61-96,17-95
2-95,17-95
34-37,7-35
2-94,7-85
96-96,49-95
41-41,42-59
2-97,3-97
22-97,22-98
33-95,34-82
33-47,47-72
32-93,33-93
36-58,35-35
10-58,52-58
77-89,60-67
3-13,12-81
14-98,40-98
11-94,7-12
51-63,43-63
22-82,2-81
31-34,35-60
8-79,8-42
67-67,66-88
64-81,4-64
16-96,15-97
22-65,23-65
59-97,60-96
18-89,90-99
2-2,3-97
12-63,11-63
12-42,41-59
36-37,31-36
45-91,2-59
7-89,6-8
21-49,21-50
13-13,12-87
48-89,47-90
3-22,2-55
19-19,20-41
48-67,47-94
11-13,12-83
16-62,16-61
11-35,12-41
71-78,5-71
66-67,67-87
22-71,14-71
19-72,15-72
20-42,21-41
8-94,7-93
97-98,19-96
3-98,2-98
33-71,72-73
33-35,34-81
18-98,18-97
85-85,24-86
7-97,26-96
47-47,46-49
5-14,3-3
1-83,14-83
10-91,3-75
62-62,32-63
16-84,83-84
52-53,52-70
2-47,2-47
8-93,8-24
56-97,97-97
8-84,27-84
71-89,89-89
96-98,30-96
11-92,49-92
66-66,19-67
55-57,54-56
3-69,3-70
5-99,4-6
1-40,1-39
1-87,88-89
11-98,20-96
22-92,21-94
5-88,5-86
79-98,79-97
34-88,82-88
67-80,66-79
16-87,9-17
78-91,92-92
46-57,35-57
45-64,44-44
77-82,12-81
3-98,1-3
42-62,62-89
2-70,95-95
62-63,61-63
39-97,38-98
3-99,6-98
26-84,83-83
18-27,17-28
52-58,7-52
25-82,1-82
29-66,67-67
43-72,21-71
23-29,5-28
43-90,43-44
42-68,42-67
67-69,66-70
19-40,18-57
1-1,8-9
56-89,97-99
87-98,25-86
88-98,10-88
2-93,2-96
3-82,82-89
7-14,8-14
3-37,36-56
51-52,4-51
38-88,37-96
74-81,22-81
69-83,68-70
2-91,38-91
2-90,91-96
