?#.???#???????##?.? 2,1,7,3,1
??##?#?..??.??? 7,1,1,1
?#????.#.???#.?#.# 5,1,4,2,1
.?####??#.???? 8,1,1
????..#??????? 1,1,1,4
?.#???#..????? 3,1,1,1
???##?#??.#? 1,2,3,1
?????.#???#?.???. 1,6,3
.?.???????. 1,2
#?.?????##? 2,6
?##???????? 2,2,1
?#.##??##?# 2,2,4
??#?.#?.#?.?#??#.?# 1,1,1,1,5,2
????#???????#?.?#.. 9,2,1
?????#.??####? 1,2,7
#???#?????? 6,1
???#?.????# 2,2,1
.#.#.#??#?? 1,1,6
?#??##?#????.?..???? 8,1,2,1
?##???????????? 4,5
??#??.#?????##. 3,1,3
???.?#?????????#??.. 1,1,12
??????#?????.?# 1,7,1,1
??.#???????? 3,1
??.?#?#?.???#??? 1,3,6
?#??#???.??.??# 1,1,1,1,1
#???#????????.???. 1,1,3,5,1,1
#??..?.#????#? 1,1,1,4
?????.???? 3,1
??????###?.? 1,7,1
.#..?##??#??.???? 1,6,2
?##???#?.## 6,2
?##.??.??#?.???#??? 3,2,1,1,1,1
???##.?#????#??? 5,1,1,3
#.??#??.?#????.???#? 1,3,1,6,1,1
??#???#.??#.#??? 7,1,1,1,1
#??#?????.?.? 7,1,1
.?????.?#????..#?#? 4,5,3
?.?.#??#??.????? 4,1
#.??#?##?...#. 1,5,1
.??..?.##??? 1,1,4
???#????????#??.? 3,8
???????##?????? 2,1,4,1
???????.??. 2,2,1
?#.#??##???.???? 1,1,3,1,1
?.?????????. 1,1,3
.???#??#??.#?####?# 6,8
?.?#??#??.?? 1,1,2,1
.??.???#??????? 1,6,1
??#..#???.?? 1,1,1,1
?...#????.#? 1,1
??.??.???. 1,1,1
??#?##????.#?.?? 10,2,1
????????.?#????#???? 2,3,4,2,2
???????#?#????.##.? 2,8,2
??#?????.?. 4,1
??#???.?.??#?????? 1,1,2,1,5,2
.??.????#?#?#?? 1,1,3,2
#???.??.#??##?????.? 1,1,1,1,5,1
##??#?????#??????#?? 5,12
.?#????..??#?#????. 5,7
????#.?????.?.?#? 4,1,3
.#..?#?????.?# 1,5,2
??????.?????# 3,1,1
?#?????.??? 1,3,1
#.??##???##?.???##? 1,10,2,2
??#???..#?#? 4,1,1,2
.?.#?.?.???. 1,1,1,1
.#?.#.#??.?????? 1,1,2,1,2
?#??.?#????#. 2,6
??????##??. 1,2,1
???????.??.????.?? 1,1,1,2,4,1
?#??????#??###.#.?? 3,10,1,1
..???#?????#?#?#? 3,7
?..#????????. 1,1,4
?#??#?#.?? 1,4,1
???##??##?.? 2,2,3,1
#??#####???#.??? 8,2,1
??#?.????.? 3,1
...????#?? 1,4
.?#?????###?##.? 3,4,2
????#.????##??? 1,4
?##??????.## 2,1,2
.?..?#.????#????? 1,1,8
.#?#?.?.???..? 4,3
??#??????#?#. 1,1,5
#?????#?###????#??? 1,9,1,2,1
???????###??.??.? 1,1,8,1,1
.??.???#?#.#??.?#.# 1,6,1,1,1,1
???#????????. 5,4
.?##?????????? 7,4
?????.??.?#?? 5,1,2,1
#.????????## 1,1,3,3
???#????.????##.?? 7,5
.#?.??#??##??? 2,7
#?..??#?#..???# 2,4,1,1
??#..??#??#????#???? 1,1,1,4,4
??????????????. 2,1,1,4,1
#??#???.?#. 4,2,2
#.??#???#??.?#??.?? 1,8,1,1
??.???#?????#?????? 1,2,3,3,5
????.#..???#??#?#? 1,1,1,7
.#?????.???????.# 3,1,2,2,1
???##??.?#??.?? 5,2,1,1
????.?##????# 2,2,3
??????#.?#?? 1,2,2,1
##?.#.#??????#?? 3,1,1,7
?????.?????#???????? 6,1
.?.???##????. 4,2
????#????#?????? 1,6,1,2
??#?##??????##?#??? 1,7,7
?..???#.??.? 2,1,1
#?????#.??.?#.???? 1,5,1,2,1
???##?#??..??.?#?? 3,3,2,2
?#??.??#?.? 2,4
?????????#??#?????? 1,1,7,2
???#????#???#?#?. 1,7,6
?????#?..??#????#??? 4,4,5
#?#???????????? 3,4,1,1,1
???#????#.#.???? 1,3,1,1,2
??.??#???#.?? 2,3,1,1
?????.??##???.??.?? 1,7,2
.??#???????##??? 1,10
?###????#????#??# 4,1,3,4
.?????.?.??. 3,2
?.?.?#??.?? 1,2
#?????#???#? 7,2
??#??????.?#???#?#?? 5,8
????#??.????#.???#? 1,4,3,1,1,2
???#??.???? 4,1
?#?????#?#. 3,3
#.?????#?.????#?# 1,6,4,1
??#??..#????. 2,1,2,2
#?????#??#.??????? 2,3,1,3,1
?????###?#?.??#?? 7,1
###???????.?? 4,2,2
??#..??### 3,5
?.##.#?????? 1,2,1,3
??#?#?.#?.#???? 1,4,1,3,1
.?????????? 1,2
.????.#??#???##?# 1,1,1,2,5
?????##?????????. 4,5
???..???#?.#.?#?#?? 5,1,5
???.???????##???.?? 1,1,2,1,5,2
??.????#??##?????? 1,9,2,1
#?#???#?###???#??##. 1,10,5
????##????##?..?# 2,4,2,1
##??..?#???????.? 3,5,1,1
??##.?#????#??#.?# 4,10,1
????????????? 1,1,1,1
?.????#.?.#?.? 1,5,2
.?.#??.#...##???.?? 1,3,1,2,2,1
??##.??..?#?# 2,2,3
.?.#????#??#? 2,6
.???????#??#.???.? 1,7,1,1
??.???????? 1,3
??.??#?.?????##??.?? 1,3,6
????.?????#?##??.? 3,11,1
???..????#.##? 1,2,1,3
.??#???.???. 3,1,1
??.???..?##???.. 2,2,4
???.#??##???????? 1,1,4,1,1
.?..?????? 1,1,3
??#???..???? 5,2,1
?????##??#??????#? 1,9,1,1
??.?????.??????# 1,5,1,1,1
??????#???. 1,1,5
.?????###..?.#?. 1,1,4,1,1
????#?#.???##? 1,3,1,5
?.?..????###??.. 1,5
???.#????. 3,1
.#?#?.#?#?.???# 1,2,3,4
????#??#??#?#???? 2,7,2
.?.???#?#??##???# 1,13
#??#???#..?#??#????? 1,6,5,4
#???????#?? 4,5
.??#??????.??# 2,1,1,3
??#????.?.# 2,1,1
.#??##?#.#?..???# 7,1,3
..?#??????##??.? 3,1,4
#??#??#??.?#. 1,5,1,1
.???#????.#?#? 6,4
.??#???#?.??????? 3,1,2,3
????????.#?#.# 1,3,3,1
??.?#????#?????????? 1,11,1,1
..??#?.???#?.?.?. 3,1,1,1
?#?????##??##.# 2,8,1
????#???#??????? 2,1,6,1
#???.?##???#?## 1,1,4,2,2
?????#??##?#??# 11,1
?.?#.#????#?#?#?#? 1,1,3,2,5
##???.????.???? 3,1,1,2
???..##?.??..#? 2,3,1
???#??#?.??.????? 6,1
?.?#??.????#??#?#?? 2,7
.?#????.??#??#???#? 6,2,2,1
???.?#???.? 1,4,1
?##.????####? 2,6
###??????#?#? 5,3
?.#??#.?..##?????? 4,6,1
?.#.#.???#?##??????? 1,1,1,10,1
??.?#?????# 3,2,1
??#????#?#?? 2,3,1,1
?#?.??#.??? 1,3,1
????.?#???#?#????? 2,1,2,3,1,3
????#?.??#????.#? 1,1,5,1
????????#??#??#?#? 1,1,1,1,5,2
???.??????#? 1,2,4
????.??#???# 1,5
?????????#?????????? 2,10,2,1
??????#??.. 2,3
?????#.?#??#?? 3,1,5,1
?????#??#?..?? 3,4,1
??#???#???#???.?.?#? 3,10,1,1
#?##??????#???????. 7,1,3
??#??????.?##??##??? 7,7
??????##?#?????? 1,8,1
.????#??#???????. 7,3
?#?###???... 5,1
.?#??????.????? 1,2
?.?#?????#.???#?? 1,5,1,3,1
????#?????#??#??. 5,2,2,1,1
.?.?#?#???#??. 1,5,1
???.????#??##?? 1,8
#???.????#???????? 2,8
??.##?#?#?? 1,6,1
?????????#..?#?#?..# 9,4,1
??????..?.???#.#?? 2,4,1
?.#.?#????. 1,1,2
?##???#?????##?.???# 3,5,4,1,1
#??#?#.?????#??#?##? 1,1,1,1,7
.?.????#???#??????? 1,1,1,2,6,1
??????????###?? 2,7
#??????#?###?????? 1,10,2,1
#??.?.??#?#? 2,1,5
.#..?????#?.?? 1,1,4,2
#?...#?.#???#? 2,1,1,3
###?#??##???????#?? 14,1
??#?.?#????#??#????? 2,11,1
???...??.#?#?. 2,1,4
#??.#??#????#?? 1,4,6
???.#.??#?#???.?##. 1,1,1,6,3
???????..?????#??? 1,1,1,1,6,2
???##????.????#..?. 5,2
.???#?.?????#. 4,2,1
.??????????#.#? 1,1,5,1
????.?.??#?##???? 2,6
#?.?#?.????#.?????# 1,2,1,1,1,4
?#.?#??????#? 1,9
??#?#???#?#?????.?#? 7,1,1,1,1
...?##?#.????. 4,1
?????????.#? 3,2
?.#?#?????#?? 5,1,1
?###.???#?. 3,2
?.???#.????#?? 2,6
???.??..???#??. 1,2,5
?#..?#?????##???. 2,9,1
#?.??###?#?#??.????. 2,8,1,2
???#?.????.??????? 4,4,6
???#?????#?#?.# 2,1,5,1
.?????#???#??? 1,2,4
???##??????? 6,2
???????#.????#??? 6,1,2
????????#???.?#??## 1,1,1,1,1,6
?#?.?#??#? 2,2,2
#..?.?#.???????#???? 1,1,1,1,1,5
???.?.???? 2,1
#???..???#??.??#.?? 1,1,2,3,1,1
???#..##?#???#? 3,4,1
??.#????????????? 7,3,1
?..?.?????? 1,1
?#????..#.#????? 2,1,1,1,2
.?.???????????? 1,1,1,4,1
?.????????#? 2,3
#?????#..???#? 1,3,1,1
???.?????##. 3,2
?.??????#??.???#??? 4,1
.?????#??#???#?#?. 8,4
???..?##??.# 1,1,3,1
???.??#??#?## 1,7
????.#??#????. 1,5
#?..????.#??.?? 2,3,3
???????##?????????# 3,1,9,2
#??##?#??#.?#? 2,2,4,2
?.?#?#?????. 1,1,3,1
?#???#??????? 6,2,1
?????..?.#?. 1,1,1,2
?????.?#??#??. 1,5
??#??#.#?? 2,1,1
..?..#.#??##?#..#? 1,1,7,2
??????##?#?.??#??? 1,1,2,1,5
?#??#?#??.??.??? 2,2,2,1,1
??...??#?#?#????. 1,8
???#???#?# 1,2,4
?#??..??.?#.? 2,2
#??#??#??? 1,6
?????...???##?????? 1,2,5,2
?#..#?????#???#..? 1,11
??????.????.## 2,1,2,2
??#????#??##??????. 1,9,1,2
#??###???..???? 6,1,2
????????????#??.???? 9,2,1,1
??#???????? 4,1,1
?#????#.??#????? 4,1,1,1,2
?#..?#?????????#?? 2,3,1,1,1,2
.???????#??.? 2,6,1
???#?????#?????#??#? 1,8,1,4
?#?.???.??? 1,3,1
.??????...??.??#?.?? 5,1
??.?#????#???##???.? 2,1,11
???#?.???#.#.? 4,4,1
#?###?????#.???? 1,4,1,1,1
.???.?????.???? 1,1,2,1,1
???#??#????.??? 4,3,1
????.?????#?? 1,1,5
??##??.?..?????? 1,3,1,1,1
????????..#?. 7,2
.????##??..? 1,3,1,1
.##?#??.#?#?#??? 5,1,1,2,1
.????##?.??????? 2,3
?#?#??.?.. 4,1
?????????#?.??? 1,6,1,1
????#?#.???. 7,3
?????#??#?##?????.#? 12,2,1
???#??#?.?#????#?? 7,7
.#.?.????????#. 1,2,1,1,1
.??.????## 1,5
????#??.?#????.. 2,1,4,1
.???#??????#???????? 1,1,11
.?.???.???#?#. 1,1,2,1
??#????#??#????.. 6,5
#?##?.?#???#? 4,6
????#???????????? 1,2,1,1,4
??????#??.???????? 1,1,3,3,1
?????.###??#?? 1,1,8
??##?.?????.? 4,2
?#.??.???? 2,1,2
??#????.??#????. 4,1,3,1
.?????#?##??. 1,7
?###.??#?????. 3,4
??#????##?##???.?? 4,6
????#?#????#???#??? 5,7
?#??#????? 2,1,4
#?#??.??#???.? 5,2,1
?#?#?????? 3,1,1
?#?#??.????#? 5,6
????.???#.???# 1,1,1,4
?#????.????.??? 4,3,2
.???.?.????#??##?.? 1,9,1
???.???#???.????#?? 1,1,7,2,1,1
?#??????.?#? 2,1,1,1
.???#.???#?? 3,4
???#??#??? 2,1
???#?#?#?. 3,1,1
##???????? 4,1
?.?#???.##? 1,3,2
.???.?.?#????? 1,1,1,3
??#?..??????? 2,1,1,1
.#.??#?..? 1,3
?.???#????. 1,3
????????#?#??? 5,1,1,1
??#??????.?#???..? 4,1,1,1,1,1
??????.???##? 1,2,1,4
???????#???????? 1,12
..??..?#????###?.? 1,10
?????#?#??#?.??#?#? 1,1,7,1,1,1
.?#????.??#?? 6,1
?#???..??????#?. 1,2,1,6
??.?#??#?##????#?#. 1,2,11
??#??.???#?#??#?#. 4,1,5,1,1
.#.?????#????? 1,1,7
????#.????#?#?#?# 1,1,9
#?.???#???.?#.?#? 2,4,1,2,1
.???...???. 3,1,1
..?.???##?..??#???. 2,3
##?#?????????.??# 5,1,4,1,1
?#????.?.??#### 2,1,1,1,5
?#????#?#. 1,2,1
?##?#??????#???????# 8,1,1,1,1
?.??????#####?? 2,7
#????#?????#????.??# 10,5,2
???#?....#? 3,1
.?#???.???###????? 2,7,3
.??????????????## 8,2,4
?????????.#?#??. 4,4
?????????.?###??? 1,2,3,5,1
??#??##.?????. 6,2
..?.?##.??? 1,2,1
?.?.????.#? 1,3,2
?#????????????.??? 2,4,3,2
.??..??.?.?#??????? 2,1,8
#????.?.#?????# 5,1,4
?#????.?#??#.?.? 2,5,1
??##???#???.??#.? 1,6,1,1,1
.???????##???#?.. 1,10
?????.?..???..? 3,1,1,1,1
??.????.???.?#. 1,3,3,2
???????.#? 1,1,1
?.??#??????#??? 5,4,2
.???#?????#.? 1,3,1,2
?#??#??.?????#?#??#? 5,1,1,1,1,3
#.?#?????#??#??? 1,9,1,1
???..????#?#???#. 1,1,2,7
.??#?#?#??#?.?###?? 2,3,3,3
??????#?.????# 3,2,2
#?##?#??#?##? 1,10
?#??#.????#?##? 4,7
??????#???#?..?# 7,1,1
?????.?.?#?? 1,1,1,1
.???#?????#.?#?#?.? 5,2,1,1
??.?#.????#? 1,2,1,1
????#?#??????? 2,6,1,1
?.????????#? 1,3,1,2
????????.#?#?? 5,3
??????#??.? 3,1
...?#?????#??.?# 3,5,2
?##?#????.??##?.? 6,1,4
#?.?.??##?#? 1,1,5
????#?#???#?????#. 1,5,1,2,1
##?#?#??.??.????? 8,1,1,1,1
??#?#?????????#???? 11,1,1
??#.#???#???#????? 2,3,1,3,2
?.??#?.??.???. 1,3,1,1
?#????#?????? 1,5,3
?#.?.??#?.?#???# 1,1,6
.??????.?#???????? 1,1,2,1,4
?#??.??.??.? 1,1,1,1
?#?##?#?????##?..## 9,1,3,2
????.?#.???????.# 1,2,1,4,1
.????.???#?##? 1,1,4
?#?.?????#?..##? 1,2,2,3
?#?#?.?#????#. 3,2,2,1
#.??#?#???? 1,3,1
???..##??.? 1,2,1
???##????.?????????# 9,1,3,2
####???.???#???#? 6,1,4,1
.?#???????#. 2,1,1,1
.??????????? 1,1,2,1
#?##?#??##?? 6,3
..?.???.?. 1,3,1
?..?.?#??????.???.? 1,1,3,1,3,1
.???.#???#??.? 1,7,1
?##?.??##?.????? 4,4,2
?.#####???#????? 7,4
????#??.?##?? 3,2,1
??#.????.?#???##?#? 1,1,1,3,3,1
.????..??#?#?##?#??? 1,13
?.???.????#?????? 1,1,6,2
..??.?????????????.. 1,2
?.????#.?#?? 2,1,1,1
???..#??#?.? 1,1,2,1
??????.??#. 1,3,2
??#??#..#?. 3,1,1
.?..???#??#. 1,4,2
?.#.????.? 1,1,1
?#?????.?.??.???#??? 4,1,4
?????#?#.??.? 4,3,1
#?#??????##??#?#???. 4,2,5,1,1
????#?????#??## 2,3,3,2
?.???????.????? 1,2,1,1,4
.???.?.??#.#?? 1,1,2,2
?###?##?#?????..?? 10,1
???????#?????.#.??.# 6,1,1,1,1,1
??.????#??????. 4,1
?#???#.??#?. 3,1,2
?##?#..?#?..??.. 5,3,1
.####?#???.?.?#?... 8,3
????#?#????#??#????? 1,11,1,1,1
????.??????#???? 2,2,2,4
?.#???#?#??. 1,4
??#???????#??...??? 4,1,3,1,2
??.???#???#???#??.? 1,3,5
????#?..?? 3,1
.????#??.?.?? 3,1,1
??#?##????. 1,4
?#?..?????????#?. 1,10
#??##??..#.#? 7,1,2
???###?????.???## 1,8,1,2
#??#??.?????????..? 1,1,9,1
????#?????#???.?? 12,2
?.????.?##????.?? 1,3,3,1,1
???##..????.? 1,2,4,1
#?#??.???.??#?#?? 1,3,1,5
??#?#??????????? 1,8,1,2
#?????#??. 3,3
.????##??.????? 1,4,1,2
????#??????..??.# 9,1,1,1
.??????.#.#? 1,1,1,1
?.??.#??.??.??#.?.? 2,3,1,3,1,1
????##???##???#?#? 1,9,3
.???.??.?# 1,1,1
???#?????#??. 3,1,2
??????#.??????###.? 6,4,3
?#?.???#???.?#..?? 1,1,4,2,2
??.?????.???###.??? 2,2,1,5,2
?###????#?? 3,3
?????##?.?#?##???. 7,6
???#???##????? 3,4,1
..?????.?##????.??.. 4,7
.?...???#? 1,3
??##??#????.#??????? 3,1,1,6
?..?.#?????#? 1,1,2,1
???.??#???? 1,5
.?#??#??????????? 1,3,1,1,1
????#?#?.?#? 7,1
?.???#??????.. 5,1
?#???.????.?#??? 1,1,1,1,5
?##????.?. 2,1,1
?#.?.##??? 1,3
?#??????.?..?.???. 1,2
#?????????#??#???? 5,1,8
???#.????.??? 1,1,2,1
????#??.##? 1,1,2
???????#??#? 1,8
?????.?????. 2,1,1,1
????.?#?###?.?#???. 2,7,2,1
???.##????????????. 2,3,7
#???#????? 3,1,1
???##???##???# 1,3,3,1
#???????#.?.?.?? 9,1,2
?#?????##??????? 3,10
???...?????###?? 1,7
???.??#?##?#? 1,1,2,1
#.?#???#?????#. 1,7,1,1
#??????????? 3,3,1
.???.?.#?????# 1,7
?###???#??#?.?#????? 12,1,1,1
.??????#????.??? 6,1
?#?.##?##??.? 2,7
???..??...??. 1,1,2
??#??#?#???#???????. 7,4,3
??.??#????. 2,7
.?#?.????#??#.?? 2,7,1
?.#.??#??#???.?? 1,1,8,1
????#??#?#.??.?.#### 10,1,1,4
.?#??????.?.???? 8,2
??#?.??.?? 2,2
??????.??????##?? 4,4,5
?#??#?.?#? 3,1,3
???###????..????..? 7,4
??.???????#?.? 2,5,1,1
?#.?#?????? 1,3,1
?#??.??..##?.???#.? 4,1,2,1,1,1
??????#????#?#??.??. 1,3,8,2
??????#?#???? 6,3
?????##????#?##? 2,3,1,5
??#??#??####??.??##? 12,4
..???##??#?#??.?. 10,1
?.?????##???? 7,1
.????#??#?##????.#? 2,11,2
?????...?.##?##? 3,1,6
?????#????.? 1,7,1
?#???#?#?? 3,1,2
??#????????.?#?? 1,4,2,1
?????#?#??? 1,6
?...?#??..???????.? 1,4
??.???##?#??##?.??? 1,1,10,1,1
???#?.?.??#?#?# 1,1,1,7
?#?..???##?? 3,1,4
??.??.?#????##?.??#. 1,1,9,2
??????????? 2,1,2
..???????#? 1,2,1
##??##?.?. 2,2
??###??.????#? 3,1,1,3
?..???#?.? 1,5,1
.#??????.#?. 1,1,2,1
.????#??????????.? 1,5,1,1,2
????#????...??????#? 3,1,3,3,3
.??????.??. 3,1,1
????#?#????#??#??? 1,1,1,2,2,1
???..#????.? 1,1,1,1
?##??##?#.?#?.??. 4,4,2,2
..??????##???? 3,4
????.?.??#??? 3,1,2,1
???????.?. 1,1,1
..#?.?##?#????##?? 2,11,1
??????????#???. 3,6
.?????.??.?#??# 1,1,1,2,4
?.???????. 1,1,1
???#??????#?## 4,1,1,2
.?...?????.???? 1,4,2
?##??#?????..?.? 9,1
??.??#????#?.#??#?? 2,6,1,2
.?..#??#??#.?#?##?.# 1,1,4,4,1
??.?#??.#? 1,2,2
.#??..???#. 1,3
???##.#?.?? 4,2,1
?.#??????.?## 2,1,3
##????.?##?#?????? 2,1,1,6,1,1
#..???#???#??#???#?. 1,6,1,1,1,1
?.??.?#?#?.# 1,2,1,1
..##?????.## 5,2
??##..???#?##????? 1,2,8,3
.??#?##?#?#?#??. 10,1
#??##?#??.??.#? 8,2,1
????...??#?#?#??.??? 2,8,3
??..#.??#???.?#??? 1,1,4,1,1,1
???.?????.???.?# 3,1,1,1,1
.??###.?#????. 3,3
##?#??.??..?##?. 4,1,1,4
##????.??#??????.??? 6,3,1,2,1
?#?#?#?#?????? 1,1,1,5
.????##????. 2,6
#???##???????.?????? 10,1,1,1
?#??.##?#?? 3,2,2
?#?????.#??## 1,2,2,2
.?????????#??#?.?? 1,1,9,1
???????##?#? 1,1,4,2
??#?.??????.??#??#? 4,1,1,1,1,5
?#????.???? 3,1,1
??.?#??##? 1,2,3
.????????.? 1,1
???.???#?##?#?#??## 1,2,9,2
?????#?##.?## 3,4,3
#????????? 1,2,2
?#..?#?.?#..??##???? 2,1,2,1,3,1
..??????????#?#????? 2,4,5,1,2
??#?#?...???????? 3,2
??#.##??##?????? 1,1,2,2,4
?#?.??.???#?# 2,1,1,1
.##.???#???#.?.? 2,1,2,1,1
#???#???#????#??#. 1,1,1,4,5
?#?.????.? 1,1,1
#?????..?. 1,1,1
??.?#???.??#? 2,1,2,3
..??.?#???##?#??#?#? 1,14
?.?#??#????##????##? 6,3,5
????..?.?.???###??. 1,1,1,1,5,1
?.??#?.??.?##?##### 1,8
?.?#?????.??? 5,1
???.##?????????? 2,2,2,1,2
?.##????##???????#.. 2,11
#???????#??#???? 1,1,1,6,1
#????#??????# 1,1,5
??.#??#???..##??#?#? 1,6,7
#??##?????????###?.. 6,7
.???????..#?.#??.? 2,2,1,2,3
????????#?#???#??? 11,1,1
??..??.????? 2,1,1,3
?.??#??#??? 1,1,2
??.??##?#.?#??#?.??? 1,6,5,1,1
.#?#?#??#?#?????? 10,1,1
????????????#. 6,1,2
??.??##???.??? 5,1
.??????#???###?.? 1,1,1,4,1
#.??#???#????????. 1,4,5,1
##?##?????#???#??#?? 15,1,1
.????#?#?#??? 2,1,5
??###??.?? 4,1
??#?#??.?? 4,1
??.????.#.??#??? 2,1,4
?????..???#?.?? 1,1,1,3,1
?.#???????????#???# 5,1,3,3
.???????????.?? 2,6
??#?????#.?#????? 8,4
??#...#???? 1,3
?.??.#??.####? 2,3,4
#?????#?????#??#?. 1,1,1,1,3,1
????#????### 2,8
?????..??. 2,2
?.??#..???#?##?? 3,7
?##????##??#. 2,1,4,1
.#?????????##?.?#..# 1,3,1,4,1,1
?#?#??#????.#.#??. 1,1,3,1,1,1
??#???.??????#?.. 2,1,3,3
#?##???#????#. 1,11
??..?..????#???# 1,1,1,3,2
??#?.?#?#? 3,4
??#???#??#?# 3,3,1,1
#.?..?##?#????#??##? 1,1,3,4,1,2
???????#?.?????#?? 6,7
?#??#??.?????#. 5,6
?.??..???#?..??.??? 3,1
?#??#???#? 1,1,2
?.??##??????????? 10,3
##?..#???#?.?? 3,3,2,1
??#???..?#???? 5,6
?#?.??#???.??#?? 3,3,1,1
.#???????.#????##?. 3,3,7
?.??##??..?? 3,2
?#??.???.???.?#? 4,1,1,2
