seeds: 564468486 226119074 3264322485 135071952 3144185610 89794463 1560365167 555667043 2419038624 7808461 1264209624 9380035 105823719 425973940 4115473551 104486997 3784956593 300187503 975280918 257129208

seed-to-soil map:
17467705 1625497048 183831908
805851475 1532911553 1668200
4192930018 4158778858 102037278
1880394968 3616576232 267437436
814920993 2610740277 443689764
4153948228 4125255449 33523409
2959571844 3274106885 205133195
3571697512 194189667 100397262
3804292518 294586929 215754923
3283376415 1077967911 288321097
2250849334 1608378788 17118260
201299613 1541225531 67153257
2147832404 1534579753 6645778
2154478182 3219339415 33483195
2705766156 734921205 239584018
2945350174 179967997 14221670
1590928545 1811886956 124782655
268452870 3905122249 56149401
3672094774 0 132197744
2692058893 3884013668 13707263
2187961377 1366289008 62887957
4125255449 4266274517 28692779
4187471637 4260816136 5458381
1827877752 3961271650 52517216

humidity-to-location map:
565280258 742633625 262999864
236814486 5872218 143216751
3086070204 1429025489 128855
1456030811 3501418909 61854477
3571235481 2009792978 141760052
1110445989 2596942754 8218306
2447073943 1299304357 102347512
2035751658 1880371400 1772758
437631438 1882144158 127648820
828280122 2605161060 197246445
0 149088969 236814486
1765728190 2802407505 40638372
1025526567 3833657987 66428167
1399091075 2151553030 56939736
2411817723 2843045877 35256220
2384444103 1401651869 27373620
1091954734 2997174931 18491255
1991811752 3900086154 43939906
2629520392 437631438 202995815
3811071540 3015666186 477873381
3497852258 1225921134 73383223
2832516207 2286969411 253553997
1753847939 1214040883 11880251
2037524416 2878302097 118872834
3721118285 4055275299 43341551
3268322772 1187757202 26283681
1299671458 4098616850 99419617
3764459836 4275368369 19598927
1197665086 640627253 102006372
4288944921 3827635612 6022375
3712995533 2588820002 8122752
1118664295 1429154344 79000791
1806366562 4198036467 50319125
2156397250 3635492981 192142631
3454152286 2208492766 43699972
1856685687 1508155135 135126065
1719071266 2252192738 34776673
3294606453 2540523408 48296594
3342903047 3944026060 111249239
1517885288 1643281200 201185978
2621641050 3493539567 7879342
380031237 0 5872218
2549421455 3563273386 72219595
2348539881 1844467178 35904222
3086199059 1005633489 182123713
3784058763 4248355592 27012777
