on x=4..48,y=-44..10,z=-45..4
off x=-22926..-12009,y=-38024..-19389,z=60358..85818
on x=-8789..-2261,y=38124..74252,z=52997..73289
off x=20501..35766,y=-75199..-56235,z=-32368..-11278
on x=-89166..-55505,y=-1123..16557,z=-49091..-20554
on x=-86663..-53304,y=-11886..9600,z=16377..47222
off x=-43587..-14141,y=-78221..-71117,z=-26019..4273
off x=51529..74793,y=-13678..-9601,z=-57077..-43218
off x=16080..20138,y=-8496..26481,z=-94025..-57409
on x=-9280..821,y=18376..34142,z=-91246..-70157
on x=-30164..-24105,y=39459..55516,z=35752..66409
on x=-67253..-60281,y=17603..50898,z=-54330..-18889
off x=-96754..-59391,y=14640..30672,z=-18557..16053
off x=48528..61498,y=28181..55273,z=-58418..-39733
on x=-22623..642,y=-72097..-61211,z=23328..42882
off x=27074..47909,y=-69471..-42714,z=-70066..-34256
off x=41036..60174,y=54672..66432,z=-1693..10819
off x=-53198..-27280,y=28939..57330,z=60357..78142
off x=38226..62175,y=41283..70704,z=-5541..6706
on x=-23034..-12636,y=-88604..-58763,z=-22203..-5526
off x=-45227..-37661,y=24242..52054,z=-79449..-45391
off x=-50372..-35901,y=-65142..-42735,z=30200..37913
on x=-70694..-59634,y=3799..17232,z=-42310..-32861
off x=21705..34702,y=32894..51603,z=-69219..-55416
on x=50003..77194,y=8823..40616,z=31934..50041
on x=28521..30241,y=33036..55341,z=52066..73340
off x=40460..72096,y=-45628..-40418,z=-47520..-29755
off x=-71992..-41516,y=-48622..-29739,z=-49193..-27687
on x=-6784..9435,y=-73585..-48730,z=36607..69977
off x=-59735..-42545,y=967..27091,z=51230..74732
on x=-75352..-55195,y=25349..47893,z=34027..63618
on x=12802..15858,y=-60006..-39917,z=56336..85690
on x=-49697..-29545,y=-70999..-61800,z=-10200..21176
off x=48297..74261,y=-54143..-37583,z=11684..23632
off x=-40821..-19943,y=-24830..-16739,z=-94285..-57573
off x=-73261..-66064,y=-47062..-20830,z=-14427..3045
on x=45282..70195,y=-60910..-36635,z=-5986..20409
off x=34881..68440,y=42279..74979,z=-36647..-20312
on x=-54825..-32057,y=-6594..15868,z=55325..65789
off x=-24247..-22418,y=50082..61687,z=-64615..-30368
on x=-66403..-55155,y=-51035..-46507,z=433..22893
on x=50850..77752,y=-42441..-38195,z=16462..42927
off x=53492..84696,y=-52904..-38923,z=3874..26590
off x=-17681..-820,y=-54879..-42429,z=51149..72606
off x=-1365..25131,y=49316..81774,z=-46069..-29062
off x=-77722..-63998,y=-54059..-27405,z=-5858..28662
on x=20472..42660,y=51877..69524,z=9121..30121
off x=31328..46094,y=-12100..-1178,z=56893..66464
off x=-47555..-33328,y=-74522..-48085,z=29616..40372
off x=39702..53151,y=-67758..-49166,z=-31133..-9963
off x=16966..38557,y=-29204..-1018,z=-82268..-55135
on x=25727..52915,y=-71129..-61303,z=-29621..-11100
off x=57766..80643,y=-23173..-9077,z=6173..32585
on x=6907..34334,y=-16166..-1149,z=-84013..-66109
on x=-51859..-46381,y=-67669..-51000,z=-1720..10534
on x=-62102..-45256,y=26373..58587,z=17662..48424
on x=-43442..-9706,y=73336..76533,z=-2302..26485
off x=29646..43052,y=-88030..-60328,z=4486..33616
on x=22232..40583,y=-80283..-62094,z=3020..19434
off x=42570..61205,y=55367..63121,z=16987..33619
on x=-70409..-52917,y=5132..27846,z=32582..55307
on x=27282..51198,y=-28431..-9502,z=58642..61960
off x=-39669..-24319,y=26942..43876,z=-71505..-51701
off x=38231..71961,y=-30494..1149,z=55892..64212
on x=-35194..-28383,y=-75841..-54355,z=13505..33535
off x=-51048..-37443,y=-23528..-11705,z=-80336..-56252
on x=64400..79685,y=-44408..-25349,z=12201..16321
off x=44375..56297,y=-69268..-33121,z=19593..48549
on x=-50815..-21236,y=21054..29528,z=-69546..-58420
on x=51188..85166,y=-26208..-351,z=29662..48742
on x=-69558..-59026,y=-16899..-6106,z=-58955..-29683
on x=48770..86736,y=-13749..12854,z=-59825..-21626
on x=18137..28863,y=-30392..-15399,z=58327..76134
off x=-13481..6976,y=67381..84761,z=-45009..-16182
off x=43006..58725,y=58369..70578,z=-8916..2639
off x=587..5222,y=53820..72007,z=-59152..-47989
on x=45216..79608,y=-37805..-9849,z=17201..53406
